british,american,irregular_plural,adjective,adverb,conjunction,determiner,discourse_marker,exclamation,interrogative,noun,possessive,preposition,pronoun,title,verb,starters,movers,flyers,animals,body_and_face,clothes,colours,family_and_friends,food_and_drink,health,home,materials,names,numbers,places_and_directions,school,sports_and_leisure,time,toys,transport,weather,work,world_around_us,audioKey,audioValue,cambridgeAudioGB,cambridgeAudioUS,audioSource,isBritishAccent,isAmericanAccent,definitionEn,definitionVi,translationVi,exampleStarters,exampleMovers,exampleFlyers,exampleStartersVi,exampleMoversVi,exampleFlyersVi,ipa,ipaGB,ipaUS,status
a,a,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a,http://s3.amazonaws.com/audio.vocabulary.com/1.0/us/A/1MTCI9SHYT4WQ.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/uka__/uka____001.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/a_0/a_01_/a_01_00.mp3,Vocabulary.com,FALSE,TRUE,Used before a singular noun to mean one thing or person.,Dùng trước danh từ số ít để chỉ một người hoặc một vật.,một,I have a dog.,She is drawing a picture now.,"If you see a bird in the garden, please tell me.",Em có một con chó.,Cô ấy đang vẽ một bức tranh bây giờ.,"Nếu em thấy một con chim trong vườn, hãy nói cho cô biết nhé.",,/ə/,/ə/,done
a lot,a lot,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a lot,http://s3.amazonaws.com/audio.vocabulary.com/1.0/us/A/1TKPRJ029L6U6.mp3,,,Vocabulary.com,FALSE,TRUE,Describing a large number or amount of things or people.,"Dùng để nói về số lượng hoặc số người, vật rất nhiều.",nhiều,I have a lot of toys.,She eats a lot of fruit every day.,We saw a lot of interesting animals when we visited the zoo last weekend.,Em có nhiều đồ chơi.,Cô ấy ăn nhiều trái cây mỗi ngày.,Chúng em đã thấy nhiều con vật thú vị khi đi sở thú cuối tuần trước.,,/ə lɒt/,/ə lɑːt/,done
a lot of,a lot of,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,Describing a large number or amount of things or people.,Dùng để nói về số lượng lớn người hoặc vật.,nhiều,I have a lot of books.,There are a lot of children in the park.,We saw a lot of animals when we visited the zoo last weekend.,Em có nhiều sách.,Có nhiều trẻ em ở công viên.,Chúng em đã thấy nhiều con vật khi đi sở thú cuối tuần trước.,,/ə lɒt əv/,/ə lɑːt əv/,done
about,about,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,about,http://www.oxforddictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukabn/ukabnor020.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/abo/about/about.mp3,Oxford,TRUE,FALSE,Showing what something is connected to or talking about.,Chỉ điều gì đó liên quan đến hoặc nói về một chủ đề nào đó.,về,I read about cats.,She is talking about her family now.,We learned about dinosaurs when we visited the museum last week.,Em đọc về mèo.,Bây giờ cô ấy đang nói về gia đình mình.,Chúng em đã học về khủng long khi đi tham quan bảo tàng tuần trước.,,/əˈbaʊt/,/əˈbaʊt/,done
add,add,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,add,http://dictionary.cambridge.org/us/media/english/us_pron/a/ad_/ad___/ad.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukact/ukactiv022.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/ad_/ad___/ad.mp3,Cambridge,FALSE,TRUE,To put numbers or things together to make a bigger total.,Cộng nghĩa là ghép các số hoặc vật lại để có tổng lớn hơn.,cộng,I add two and three.,She added some milk to her tea.,"If you add five to ten, you will get fifteen.",Em cộng hai và ba.,Cô ấy đã cho thêm sữa vào trà của mình.,"Nếu em cộng năm với mười, em sẽ được mười lăm.",,/æd/,/æd/,done
afternoon,afternoon,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,afternoon,http://www.onelook.com/pronounce/macmillan/US/afternoon-American-English-pronunciation.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukafo/ukafore017.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/aft/after/afternoon.mp3,OneLook/Macmillan,FALSE,TRUE,Describing something that happens or is used in the afternoon time.,Miêu tả điều gì đó xảy ra hoặc được dùng vào buổi chiều.,buổi chiều,It is an afternoon class.,We have afternoon lessons at school.,My favourite activity is the afternoon game we play after lunch.,Đây là lớp học buổi chiều.,Chúng em có các tiết học buổi chiều ở trường.,Hoạt động em thích nhất là trò chơi buổi chiều mà chúng em chơi sau bữa trưa.,,/ˌɑːf.təˈnuːn/,/ˌæf.tɚˈnuːn/,done
again,again,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,again,http://www.yourdictionary.com/audio/a/ag/again.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukafo/ukafore027.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/aga/again/again.mp3,YourDictionary,FALSE,TRUE,Describing when something happens one more time or repeats.,Dùng khi một việc xảy ra thêm một lần nữa hoặc lặp lại.,lại,Do it again.,She reads the story again every night.,"If you don't understand, you can ask the teacher again after class.",Làm lại đi.,Cô ấy đọc lại câu chuyện mỗi tối.,"Nếu em chưa hiểu, em có thể hỏi cô giáo lại sau giờ học.",,/əˈɡen/,/əˈɡen/,done
Alex,Alex,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,A common name for boys or girls in English-speaking countries.,Alex là một tên thường dùng cho cả bé trai và bé gái ở các nước nói tiếng Anh.,Alex (tên riêng),Alex is my friend.,Alex has a red backpack at school.,"Alex, who loves football, always plays with friends after school.",Alex là bạn của em.,Alex có một chiếc ba lô màu đỏ ở trường.,"Alex, người rất thích bóng đá, luôn chơi với bạn sau giờ học.",,/ˈæl.ɪks/,/ˈæl.ɪks/,done
Alice,Alice,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,FALSE,FALSE,A girl's name that is often used in stories and books.,"Alice là tên của một bạn gái, thường xuất hiện trong truyện và sách.",Alice,Alice is my friend.,"Alice has a big, brown teddy bear.",Alice went to the library yesterday because she wanted to read new books.,Alice là bạn của em.,Alice có một con gấu bông lớn màu nâu.,Alice đã đến thư viện hôm qua vì bạn ấy muốn đọc sách mới.,,/ˈæl.ɪs/,/ˈæl.ɪs/,done
alien,alien,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,alien,http://www.onelook.com/pronounce/macmillan/UK/alien-British-English-pronunciation_65136.mp3,https://dictionary.cambridge.org/media/english/uk_pron/u/uka/ukalb/ukalbin025.mp3,https://dictionary.cambridge.org/media/english/us_pron/a/ali/alien/alien.mp3,OneLook/Macmillan,TRUE,FALSE,"An alien is a creature from another planet, not from Earth.","Người ngoài hành tinh là sinh vật đến từ hành tinh khác, không phải Trái Đất.",người ngoài hành tinh,I see an alien.,The alien is playing with my toys.,"If I met an alien, I would ask about its home planet.",Em nhìn thấy một người ngoài hành tinh.,Người ngoài hành tinh đang chơi với đồ chơi của em.,"Nếu em gặp người ngoài hành tinh, em sẽ hỏi về hành tinh của họ.",,/ˈeɪ.li.ən/,/ˈeɪ.li.ən/,done
